title,subtitle,date,category,link,main_category
Andrew Bridgen's vaccine claims fact-checked,The Conservative MP has been suspended after a tweet comparing Covid vaccine side effects to the Holocaust.,2023-01-12,Reality Check,https://www.bbc.com/news/uk-politics-64237949,BBC Verify
Why the battle for a Ukrainian salt town matters,Soledar in eastern Ukraine is the latest town to face an intense battle involving Russian forces.,2023-01-12,Reality Check,https://www.bbc.com/news/64240404,BBC Verify
Five key moments in storming of Brazil's Congress,President Lula has questioned police actions in failing to prevent the storming of government buildings.,2023-01-10,Reality Check,https://www.bbc.com/news/64212071,BBC Verify
What does facial recognition software make of Putin’s backdrop crowd?,There's been speculation public meetings with President Putin have been staged.,2023-01-07,Reality Check,https://www.bbc.com/news/64189366,BBC Verify
How aid is getting to Tigray after the peace deal,"Last November's peace deal has allowed aid supplies into Tigray again, but there are still concerns about the food situation.",2023-01-06,Reality Check,https://www.bbc.com/news/57929853,BBC Verify
How is China trying to beat its latest Covid surge?,China is ramping up its vaccination programme in response to the latest wave of Covid.,2023-01-05,Reality Check,https://www.bbc.com/news/63798484,BBC Verify
Do restrictions on travel work against Covid?,Is there evidence that travel restrictions help stop the spread of coronavirus?,2023-01-04,Reality Check,https://www.bbc.com/news/59461861,BBC Verify
Fact-checking Giorgia Meloni's claim about France,A video of an Italian politician claiming that France exploits African countries has been widely shared. Is she right?,2023-01-03,Reality Check,https://www.bbc.com/news/63708313,BBC Verify
Are teachers in the top 10% of earners in some areas?,Education Secretary Gillian Keegan said teachers are in the top 10% of earners in some parts of the country.,2022-12-23,Reality Check,https://www.bbc.com/news/64064200,BBC Verify
"Does the average nurse earn £34,000 a year?",Nurses have been striking in a dispute about pay. How much do they earn at the moment?,2022-12-22,Reality Check,https://www.bbc.com/news/63587909,BBC Verify
How are other countries tackling energy bills?,European countries are helping consumers facing surging energy prices.,2022-12-22,Reality Check,https://www.bbc.com/news/61522123,BBC Verify
Would every 1% rise to nurses' pay cost £700m?,Fact-checking a claim made by Health Minister Maria Caulfield.,2022-12-18,Reality Check,https://www.bbc.com/news/63988517,BBC Verify
What's the gap between public and private sector pay?,Do public or private sector workers get paid more?,2022-12-14,Reality Check,https://www.bbc.com/news/55089900,BBC Verify
Would pay demands cost an extra £28bn?,"The prime minister and health secretary both claim they would cost an extra £1,000 per household.",2022-12-12,Reality Check,https://www.bbc.com/news/63917967,BBC Verify
How much are rail workers paid?,There have been different claims made about how much rail workers get paid.,2022-12-08,Reality Check,https://www.bbc.com/news/61840077,BBC Verify
Why have Covid contracts been challenged?,The government awarded thousands of contracts to private companies during the pandemic.,2022-12-07,Reality Check,https://www.bbc.com/news/56174954,BBC Verify
Why Nigel Farage is wrong about 'minority white' London,"Former UKIP leader Nigel Farage claims London, Birmingham and Manchester are ""minority white"".",2022-11-30,Reality Check,https://www.bbc.com/news/63806518,BBC Verify
Uganda's other fight against Ebola,"Some Ugandans have been attacking the government's efforts, even denying the Ebola virus's existence.",2022-11-29,Reality Check,https://www.bbc.com/news/63741125,BBC Verify
Where will the 'eye-watering' cuts be?,BBC correspondents look at the areas where any cuts could fall.,2022-11-17,Reality Check,https://www.bbc.com/news/63304224,BBC Verify
Searching for clues about Poland missile strike,"Last night, a missile landed in Poland, killing two people - the BBC's open source investigations team has been searching for clues.",2022-11-17,Reality Check,https://www.bbc.com/news/63648958,BBC Verify
"Fact-checking '15,000 Iran death sentences' claims",Canadian Prime Minister Justin Trudeau and several other celebrities shared the claim on social media this week.,2022-11-16,Reality Check,https://www.bbc.com/news/63643643,BBC Verify
Four viral US election fraud claims fact-checked,Several false and unsubstantiated rumours have circulated online during the US midterm elections.,2022-11-09,Reality Check,https://www.bbc.com/news/63564964,BBC Verify
How many private jets were at COP27?,Demonstrators in Amsterdam stopped private jets taking off ahead of the UN Climate Change Conference.,2022-11-09,Reality Check,https://www.bbc.com/news/63544995,BBC Verify
How has US economy fared under President Biden?,President Biden has rejected suggestions the US economy is weakening.,2022-11-08,Reality Check,https://www.bbc.com/news/59402975,BBC Verify
Looking for clues in video of forgotten massacre,"As a truce is agreed in Ethiopia's bitter civil war, we investigate a massacre caught on video.",2022-11-07,Reality Check,https://www.bbc.com/news/63515162,BBC Verify
Fact-checking misleading claims about the US midterms,False election fraud claims and manipulated content are being widely shared ahead of the vote.,2022-11-06,Reality Check,https://www.bbc.com/news/63486497,BBC Verify
Is it getting harder to vote in the US?,New voting rules have come in across the US ahead of midterm elections. What impact will they have?,2022-11-04,Reality Check,https://www.bbc.com/news/60309566,BBC Verify
Fact-checking claims about asylum at PMQs,There were a number of claims made about the asylum system at Prime Minister's Questions.,2022-11-03,Reality Check,https://www.bbc.com/news/63489695,BBC Verify
Examining the false claims about the Pelosi attack,False claims about the violent attack have gone viral in the days following the incident.,2022-11-02,Reality Check,https://www.bbc.com/news/63477452,BBC Verify
"Corruption, Covid and cannibalism in Brazil's election",Lula da Silva won the second-round run-off on 30 October.,2022-10-31,Reality Check,https://www.bbc.com/news/63374100,BBC Verify
Have Ethiopian air strikes targeted civilians?,We've been investigating an air strike against one target in Tirgray.,2022-10-27,Reality Check,https://www.bbc.com/news/63146055,BBC Verify
Fact-checking Rishi Sunak's first PMQs,"Looking at claims about police numbers, nurses and fracking.",2022-10-27,Reality Check,https://www.bbc.com/news/63403567,BBC Verify
Is violent crime rising in the US?,Law and order promises to be a key talking point in the US midterms. We look at the numbers.,2022-10-25,Reality Check,https://www.bbc.com/news/57581270,BBC Verify
Video captures Yeysk plane crash,Dashcam footage captures the moment a Russian fighter jet hit a block of flats in the city of Yeysk.,2022-10-24,Reality Check,https://www.bbc.com/news/63375678,BBC Verify
Tory leadership: How secure is the online vote?,There are concerns about security if the Tory leadership is decided by an online ballot of party members.,2022-10-22,Reality Check,https://www.bbc.com/news/63344131,BBC Verify
How did Russian jet crash?,An investigation is under way into the crash of a fighter jet into a block of flats in Russia.,2022-10-20,Reality Check,https://www.bbc.com/news/63313871,BBC Verify
Fact-checking Liz Truss at PMQs,"Looking at claims about energy bills, NHS backlogs and interest rates.",2022-10-20,Reality Check,https://www.bbc.com/news/63316608,BBC Verify
Russian fighter jet pilot found after crash,"Pilot says he was not shot down, after ejecting from crashing plane.",2022-10-19,Reality Check,https://www.bbc.com/news/63318967,BBC Verify
The moment Russian plane crashed in Yeysk,Video footage captures the moment a Russian plane crashes into a building.,2022-10-19,Reality Check,https://www.bbc.com/news/63316321,BBC Verify
Tracking Syrian rebels' lightning offensive as they approach key city,BBC Verify has been tracking the territory captured by Syrian rebels as they move towards Homs.,2024-12-06,Middle East,https://www.bbc.com/news/videos/c5ydd82n15ro,BBC Verify
Ros Atkins on… How the New York shooting unfolded,"Our Analysis Editor Ros Atkins with BBC Verify has been looking at the gunman’s movements and what we know about how the shooting unfolded.
",2024-12-05,US & Canada,https://www.bbc.com/news/videos/cy0ngp2pd8po,BBC Verify
What has Joe Biden said in the past about pardoning his son?,The US president has previously vowed not to intervene in his son's case. ,2024-12-03,US & Canada,https://www.bbc.com/news/articles/ceql5v5v0xlo,BBC Verify
Ros Atkins On... Are North Korean troops fighting in Ukraine?,The BBC's analysis editor looks at what we know about the claims that North Korean troops are involved in the war in Ukraine.,2024-11-30,World,https://www.bbc.com/news/videos/cx2d2kxlgnjo,BBC Verify
False news reports made by Russian network ahead of US election,Evidence seen by the BBC links the videos to a Russian-based operation of election disinformation. ,2024-11-03,BBC Verify,https://www.bbc.com/news/articles/cly2qjel083o,BBC Verify
Fact-checking RFK Jr's views on health policy,"Robert F Kennedy Jr has been nominated to be the next US health secretary, but some of his views are not backed by science.",2024-11-16,US & Canada,https://www.bbc.com/news/articles/c0mzk2y41zvo,BBC Verify
Will Elon Musk be able to cut $2 trillion from US government spending?,The Tesla CEO claimed he could slash US spending by eradicating “waste”.,2024-11-14,US & Canada,https://www.bbc.com/news/articles/cdj38mekdkgo,BBC Verify
Would Donald Trump’s tariffs hurt US consumers?,Trump claims more taxes on trade wouldn't be a cost to the US - but almost all economists dispute this.,2024-11-27,US & Canada,https://www.bbc.com/news/articles/c20myx1erl6o,BBC Verify
​​Gabriela is an undecided voter. Here's the very different content TikTok and X showed her,How is the battle for votes  unfolding over different social media feeds this US election?,2024-11-04,US & Canada,https://www.bbc.com/news/articles/cy5lngzxxrvo,BBC Verify
"Ukraine front could 'collapse' as Russia gains accelerate, experts warn","Moscow's forces have taken more ground since September than they did over the course of 2023, analysts say. ",2024-11-20,Europe,https://www.bbc.com/news/articles/cn0dpdx420lo,BBC Verify
Why misinformation about a cow feed additive prompted people to throw milk away,"The additive is approved by regulators and experts say it is safe, but misinformation has raged around Bovaer.",2024-12-04,BBC Verify,https://www.bbc.com/news/articles/c8rjdgre3vpo,BBC Verify
Russian ships move from Syria base amid doubts over future,"Satellite images show Russian ships off the Syrian coast, as Moscow mulls its military future after Bashar al-Assad's fall.",2024-12-12,World,https://www.bbc.com/news/articles/ckgn8e2zznno,BBC Verify
BBC Verify tracks week of rebel advances in Syria,"It’s been one week since rebel forces launched their largest offensive against the Syrian government in years. BBC Verify has been tracking their advances.
",2024-12-04,Middle East,https://www.bbc.com/news/videos/clyv31n33d9o,BBC Verify
Russian ships move from Syria base amid doubts over future,"Satellite images show Russian ships off the Syrian coast, as Moscow mulls its military future after Bashar al-Assad's fall.",2024-12-11,World,https://www.bbc.com/news/articles/ckgn8e2zznno,BBC Verify
Why misinformation about a cow feed additive prompted people to throw milk away,"The additive is approved by regulators and experts say it is safe, but misinformation has raged around Bovaer.",2024-12-05,BBC Verify,https://www.bbc.com/news/articles/c8rjdgre3vpo,BBC Verify
BBC reveals fighters accused of massacre in Sudan,Videos reviewed by BBC Verify show men wearing RSF insignia boasting of killing locals in al-Seriha,2024-12-23,Africa,https://www.bbc.com/news/articles/c7864519eqvo,BBC Verify
"Russia moving equipment at Syrian bases, satellite images show",Images show a build up of military vehicles at Russia's two bases in Syria near the Mediterranean Sea.,2024-12-19,World,https://www.bbc.com/news/articles/cm2ev2prep2o,BBC Verify
Tracking Syrian rebels' lightning offensive as they approach key city,BBC Verify has been tracking the territory captured by Syrian rebels as they move towards Homs.,2024-12-07,Middle East,https://www.bbc.com/news/videos/c5ydd82n15ro,BBC Verify
BBC reveals fighters accused of massacre in Sudan,Videos reviewed by BBC Verify show men wearing RSF insignia boasting of killing locals in al-Seriha,2024-12-23,Africa,https://www.bbc.com/news/articles/c7864519eqvo,BBC Verify
"Russia moving equipment at Syrian bases, satellite images show",Images show a build up of military vehicles at Russia's two bases in Syria near the Mediterranean Sea.,2024-12-19,World,https://www.bbc.com/news/articles/cm2ev2prep2o,BBC Verify
Russian ships move from Syria base amid doubts over future,"Satellite images show Russian ships off the Syrian coast, as Moscow mulls its military future after Bashar al-Assad's fall.",2024-12-12,World,https://www.bbc.com/news/articles/ckgn8e2zznno,BBC Verify
Tracking Syrian rebels' lightning offensive as they approach key city,BBC Verify has been tracking the territory captured by Syrian rebels as they move towards Homs.,2024-12-07,Middle East,https://www.bbc.com/news/videos/c5ydd82n15ro,BBC Verify
How US election fraud claims changed as Trump won,Both Trump fans and Harris supporters baselessly claimed large-scale voter fraud in Tuesday's election.,2024-11-09,US & Canada,https://www.bbc.com/news/articles/cy9j8r8gg0do,BBC Verify
False news reports made by Russian network ahead of US election,Evidence seen by the BBC links the videos to a Russian-based operation of election disinformation. ,2024-11-03,BBC Verify,https://www.bbc.com/news/articles/cly2qjel083o,BBC Verify
"No, Hurricane Milton was not 'engineered'",Social media is awash with bogus claims that Hurricane Milton has been “engineered”. What are the facts? ,2024-10-10,BBC Verify,https://www.bbc.com/news/articles/cx2lyzw7xwxo,BBC Verify
Biden condemns misinformation about hurricane,BBC Verify looks into claims made about the US government's response to Hurricane Helene. ,2024-10-10,US & Canada,https://www.bbc.com/news/articles/czd1q9q9gl9o,BBC Verify
Fake 'Kamala Harris ad' used AI voice and UK department store advert,BBC Verify analysed a false post claiming to show a pro-abortion campaign ad that has widely circulated on social media.,2024-10-04,US & Canada,https://www.bbc.com/news/videos/cqjrwkw128no,BBC Verify
Fact-checking RFK Jr's views on health policy,"Robert F Kennedy Jr has been nominated to be the next US health secretary, but some of his views are not backed by science.",2024-11-16,US & Canada,https://www.bbc.com/news/articles/c0mzk2y41zvo,BBC Verify
Will Elon Musk be able to cut $2 trillion from US government spending?,The Tesla CEO claimed he could slash US spending by eradicating “waste”.,2024-11-14,US & Canada,https://www.bbc.com/news/articles/cdj38mekdkgo,BBC Verify
Would Donald Trump’s tariffs hurt US consumers?,Trump claims more taxes on trade wouldn't be a cost to the US - but almost all economists dispute this.,2024-11-27,US & Canada,https://www.bbc.com/news/articles/c20myx1erl6o,BBC Verify
​​Gabriela is an undecided voter. Here's the very different content TikTok and X showed her,How is the battle for votes  unfolding over different social media feeds this US election?,2024-11-04,US & Canada,https://www.bbc.com/news/articles/cy5lngzxxrvo,BBC Verify
BBC Verify tracks week of rebel advances in Syria,"It’s been one week since rebel forces launched their largest offensive against the Syrian government in years. BBC Verify has been tracking their advances.
",2024-12-04,Middle East,https://www.bbc.com/news/videos/clyv31n33d9o,BBC Verify
What has Joe Biden said in the past about pardoning his son?,The US president has previously vowed not to intervene in his son's case. ,2024-12-03,US & Canada,https://www.bbc.com/news/articles/ceql5v5v0xlo,BBC Verify
Ros Atkins On... Are North Korean troops fighting in Ukraine?,The BBC's analysis editor looks at what we know about the claims that North Korean troops are involved in the war in Ukraine.,2024-11-30,World,https://www.bbc.com/news/videos/cx2d2kxlgnjo,BBC Verify
